race_no,lane,crew_name,affiliation,category
110,5,会津楽水会,会津楽水会,D
111,2,れでぃばば,れでぃばば,F
111,3,瀬田漕艇クラブ F,瀬田漕艇クラブ,F
111,4,瀬田漕艇クラブ 健ちゃんズ,瀬田漕艇クラブ,G
111,5,CPRCウイメンズ,CPRC,G
112,1,京都ボートクラブ,京都ボートクラブ,H
112,2,勘八峡・昇龍ローイングクラブ,勘八峡・昇龍ローイングクラブ,H
112,3,ワイルドローバー 70,ワイルドローバーローイングクラブ,H
112,4,WKマスターズ H,WKマスターズ,H
112,5,大阪工業大学重吹会 負けへんで,大阪工業大学重吹会,H
113,1,大阪工業大学重吹会 かったるで,大阪工業大学重吹会,H
113,2,浜松ボートクラブ佐鳴会H,浜松ボートクラブ佐鳴会,H
113,3,佐鳴漕友会 曳馬,佐鳴漕友会(静岡大学),H
113,4,濃青会鶴見川銀閣,濃青会鶴見川,H
113,5,滋賀大・立命館,ボート団塊号 (だんかいごう),H
114,1,佐賀大学楠漕会レジェンド,楠漕会,H
114,2,名大関西ボーイズ,名古屋大学艇友会関西,H
114,3,医王会ローイングナックルB,医王会ローイングクラブ,H
114,4,矢切ローイングクラブ,矢切ローイングクラブ,H
114,5,佐賀大学楠漕会ミドル,楠漕会,H
115,1,金沢大学医王会,金沢大学医王会,E
115,2,大阪工業大学重吹会 なんでやねん,大阪工業大学重吹会,E
115,3,御殿浜ローソンズ,御殿浜ローイングクラブ,E
115,4,レジェンド島根,レジェンド島根,E
115,5,貞山87,新貞山ローイングクラブ,E
116,1,九州照葉ローイングクラブB,九州照葉ローイングクラブ,E
116,2,WITH YOU 神鷹,WITH YOU,E
116,3,茨戸87B,茨戸87,E
116,4,会津楽水会,会津楽水会,E
116,5,E.R.C.C MKF E,E.R.C.C,E
117,2,浜寺マスターズクラブ59,浜寺マスターズクラブ,E
117,3,でん助,でん助・でん子,E
117,4,医王会ローイングナックルA,医王会ローイングクラブ,E
118,2,日本ボートマンクラブ,日本ボートマンクラブ,J
118,3,WKマスターズ J,WKマスターズ,J
118,4,TMRC ひろせ,鶴見川マスターズローイングクラブ,J
118,5,諏訪マスターズ,諏訪マスターズ,J
119,2,多摩川RC(J),多摩川ローイングを楽しむ会,J
119,3,諏訪湖游漕会,SUWAKO 游漕会,J
119,4,名古屋大学艇友会関西,名古屋大学艇友会関西,J
120,2,濃青会鶴見川金閣,濃青会鶴見川,K
120,3,浜寺マスターズレジェンド,浜寺マスターズクラブ,K
120,4,WKマスターズ L,WKマスターズ,L
120,5,濃青会鶴見川鳳凰,濃青会鶴見川,M
121,1,でん助,でん助・でん子,F
121,2,鹿児島大学碧漕会A,碧漕会,F
121,3,鹿児島大学碧漕会B,碧漕会,F
121,4,茨水会,茨水会,F
121,5,ヤバセJ1,ヤバセJ1,F
121,6,ワイルドローバー関東,ボート団塊号 (だんかいごう),F
122,1,瀬田漕艇クラブ チームあ行,瀬田漕艇クラブ,F
122,2,日曜クラブ,ボート団塊号 (だんかいごう),F
122,3,RCF,レガッタクラブフレンドシップ,F
122,4,茨戸87A,茨戸87,F
122,5,名古屋大学艇友会61.6,名古屋大学艇友会57~61,F
122,6,佐賀大学楠漕会,楠漕会,F
123,1,RC神戸,RC神戸,F
123,2,津幡町議会,津幡町議会,F
123,3,ワイルドローバー 64,ワイルドローバーローイングクラブ,F
123,4,ペンタ・トウユウ,櫂朋会,F
123,5,多摩川RC(F),多摩川ローイングを楽しむ会,F
123,6,瀬田漕艇クラブ 元祖おやじクルー,瀬田漕艇クラブ,F
